iter	Passed	Remaining
0	177	177713
1	179	89404
2	180	59828
3	180	45021
4	181	36151
5	182	30229
6	183	26023
7	184	22856
8	185	20427
9	186	18509
10	188	16903
11	189	15582
12	190	14439
13	191	13458
14	192	12615
15	192	11866
16	193	11205
17	194	10614
18	195	10089
19	196	9613
20	196	9182
21	197	8791
22	198	8451
23	200	8142
24	201	7845
25	202	7581
26	203	7324
27	204	7089
28	205	6866
29	206	6673
30	207	6480
31	208	6296
32	208	6123
33	209	5962
34	210	5810
35	211	5675
36	212	5542
37	214	5422
38	215	5308
39	216	5193
40	217	5084
41	218	4980
42	219	4881
43	220	4787
44	221	4693
45	222	4604
46	222	4520
47	223	4439
48	224	4361
49	225	4285
50	226	4223
51	228	4160
52	229	4102
53	230	4041
54	231	3982
55	232	3923
56	233	3870
57	235	3824
58	236	3769
59	237	3715
60	237	3663
61	238	3613
62	239	3565
63	240	3520
64	241	3477
65	242	3436
66	244	3401
67	245	3364
68	246	3328
69	247	3291
70	248	3254
71	249	3217
72	250	3181
73	251	3145
74	252	3110
75	253	3076
76	253	3044
77	254	3011
78	255	2982
79	256	2953
80	257	2925
81	258	2899
82	259	2867
83	260	2841
84	261	2817
85	262	2792
86	263	2767
87	264	2741
88	265	2717
89	266	2693
90	267	2670
91	268	2648
92	269	2625
93	270	2604
94	271	2585
95	272	2565
96	273	2547
97	274	2527
98	275	2509
99	276	2491
100	277	2473
101	278	2454
102	279	2436
103	280	2419
104	281	2400
105	282	2383
106	283	2366
107	284	2350
108	285	2336
109	287	2326
110	288	2312
111	289	2298
112	290	2283
113	291	2269
114	292	2254
115	294	2240
116	294	2225
117	295	2211
118	296	2198
119	297	2184
120	298	2171
121	299	2157
122	300	2145
123	302	2133
124	303	2121
125	304	2109
126	305	2096
127	306	2085
128	307	2073
129	308	2061
130	309	2050
131	309	2037
132	310	2026
133	311	2015
134	312	2004
135	313	1992
136	315	1984
137	316	1974
138	317	1965
139	318	1955
140	319	1944
141	319	1932
142	321	1924
143	322	1914
144	322	1904
145	323	1894
146	324	1884
147	325	1875
148	326	1865
149	327	1857
150	328	1848
151	330	1841
152	330	1832
153	331	1823
154	332	1815
155	334	1807
156	334	1797
157	336	1791
158	337	1783
159	338	1775
160	338	1765
161	339	1757
162	340	1750
163	341	1742
164	342	1735
165	344	1729
166	345	1721
167	346	1714
168	347	1707
169	348	1700
170	349	1693
171	350	1686
